[475.637063343635,427.415159846647,52.4182473847727].
[475.804114102721,427.646127313779,52.2381581969931].
[475.92804456984,427.798119601159,52.1289285831221].
[476.099502458154,427.882725152998,52.1045561618861].
[476.479546498313,427.990036585085,52.0893620655527].
[476.954632403548,428.142031433338,52.0212668500819].
[477.314152578161,428.381541616826,51.8846260969379].
[477.630045177711,428.6962915134,51.7073088787222].
[477.898418010899,428.999929494514,51.512038143235].
[478.022348869152,429.151909967648,51.4028161404901].
[478.11506253822,429.195056232831,51.3876262732007].
[478.429252689576,429.248342478176,51.4287720137345].
[478.994742156389,429.336196644313,51.5057876857454].
[479.521711616446,429.389482889659,51.588065536739].
[479.942630687454,429.401372658116,51.6650617778376].
[480.107932514928,429.401372658116,51.6970160739033].
[479.942630687454,429.401372658116,51.6650617778376].
[479.591816915235,429.401372658116,51.5972463924137].
[479.379037606535,429.401372658116,51.5561142819539].
[479.331560125308,429.401372658116,51.5469364675598].
[479.308953643049,429.370121024204,51.5713029101886].
[479.207638418588,429.230060918067,51.6805057298013].
[479.040597852974,428.999140841903,51.8605507413172].
[478.939282628513,428.859080735766,51.9697535609299].
[478.916676146254,428.827829101853,51.9941200035587].
[478.916676146254,428.827829101853,51.9941200035587].
[478.916676146254,428.827829101853,51.9941200035587].
[478.916676146254,428.827829101853,51.9941200035587].
[478.916676146254,428.827829101853,51.9941200035587].
[478.916676146254,428.827829101853,51.9941200035587].
[478.916676146254,428.827829101853,51.9941200035587].
[478.964156712899,428.808474675569,52.0276544123973].
[479.176949849485,428.721734154829,52.1779452059694].
[479.527786420033,428.578723213253,52.425732834122].
[479.740579556619,428.491982692513,52.576023627694].
[479.788060123264,428.472628266229,52.6095580365326].
[479.788060123264,428.472628266229,52.6095580365326].
[479.810663520105,428.503873383633,52.5851971632513].
[479.91196491668,428.643904284806,52.4760193037225].
[480.101587278215,428.906022982731,52.271653280636].
[480.304195437779,429.186092203176,52.0532917779111].
[480.493825449625,429.448221476277,51.8489175096797].
[480.595132212614,429.588259795549,51.7397338664835].
[480.617736806864,429.619506568155,51.7153717026915].
[480.617736806864,429.619506568155,51.7153717026915].
[480.617736806864,429.619506568155,51.7153717026915].
[480.617736806864,429.619506568155,51.7153717026915].
[480.617736806864,429.619506568155,51.7153717026915].
[480.618745957577,429.619695380614,51.7239692233166].
[480.6232686573,429.620541579349,51.7625006375338].
[480.630725328535,429.621936725201,51.8260281997439].
[480.58779528951,429.642150906438,51.8311522305144].
[480.376136019618,429.729140994395,51.6900282458775].
[480.025505070961,429.872252103632,51.4431792154709].
[479.812836650356,429.95905337913,51.293457710209].
[479.765383911608,429.978421361633,51.2600503267623].
[479.765383911608,429.978421361633,51.2600503267623].
[479.765383911608,429.978421361633,51.2600503267623].
[479.765383911608,429.978421361633,51.2600503267623].
[479.765383911608,429.978421361633,51.2600503267623].
[479.765383911608,429.978421361633,51.2600503267623].
[479.812836650356,429.978421361633,51.2690761355111].
[480.048105610764,429.990297508756,51.3095270039315].
[480.500025151641,430.043522707514,51.3762192111146].
[480.879690228717,430.131276224843,51.4166700795351].
[481.028431559684,430.184501423601,51.4256958882839].
[481.074628530359,430.227802890636,51.4098401511391].
[481.180380396697,430.368641403415,51.3387796672753].
[481.354735748144,430.600844855169,51.2216207360228].
[481.460487614482,430.741683367949,51.150560252159].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
[481.484084045354,430.77310868786,51.1347045150143].
