303.908233344252;184.479692235765;215.606145949679.
305.495840754963;184.804409658722;215.800911310127.
307.862869881163;185.372288931033;215.99834752491.
310.247622636719;185.972230484465;216.069396917242.
312.280819718342;186.652393940647;215.97012725197.
314.459902040006;187.62326999235;215.772834535449.
316.852637461982;188.70519941416;215.645654680556.
319.02186789912;189.64568062287;215.618148401089.
321.119941351057;190.413652213423;215.624101721098.
323.455475697514;191.113682806175;215.665758544213.
325.695712390655;191.880323608939;215.845997990951.
327.691175147691;192.72408541442;216.137096570658.
329.884225540405;193.51237020972;216.349692740536.
332.075592617675;194.278933535634;216.563118820856.
333.923803820488;195.013068888928;216.891159098704.
335.535003920386;195.529584485855;217.279486113593.
336.836249378574;195.854820048298;217.839582986758.
338.075120351037;196.091064336707;218.557275633764.
339.223028111259;196.315942538284;219.188377528351.
340.22041157115;196.54143558716;219.594721324102.
341.021349147319;196.749703919913;219.739132690433.
341.548385823871;196.968935362033;219.671204368287.
341.848438279349;197.228745113279;219.442608330184.
342.051751746733;197.525194619711;219.120700334673.
342.230475297689;197.942401703034;218.7428915174.
342.365119896022;198.50314204201;218.25245802879.
342.529009268508;199.233044086289;217.418855934234.
342.788190369881;200.178886392362;216.179617930432.
343.067095028198;201.199279901132;215.02138101487.
343.258930791252;202.020405749414;214.286259427974.
343.433787011643;202.529785456302;213.885320742948.
343.731923596614;203.004799127925;213.441073607928.
344.142244242769;203.599737241716;212.766137188294.
344.527413723246;204.166068642867;212.047432155328.
344.714811707834;204.442804182041;211.615380572162.
344.800339635429;204.49835777518;211.481490230705.
345.117062228643;204.532359439109;211.448869684148.
345.976145390281;204.832099387143;211.333325858153.
347.30285446806;205.854812938348;210.976843353105.
348.874008606851;207.688045496629;210.336312172404.
350.731748708339;209.69038734757;209.55566858249.
352.752141748819;211.388641638828;208.85642240319.
354.794942352273;212.745357181915;208.406877265158.
356.463436529634;213.867903329802;208.194662386576.
357.769294617146;214.754704334399;208.114161811824.
358.817786657582;215.505392529092;207.945317263322.
359.742640256219;216.536295651264;207.291756098864.
360.490689635665;218.185200679742;205.923257987371.
361.363054566968;220.262551898086;204.151546822957.
362.883378979062;222.805431407787;202.211148871282.
365.106533178129;225.770810793285;200.270906486873.
368.001543691073;228.957310292985;198.521058888323.
371.23535638115;232.114962910248;196.879963682209.
374.067488463142;235.059177643301;195.154382644813.
376.507708824392;237.470547870254;193.798153374323.
378.884573084901;239.298219014496;193.123714493801.
381.163923358335;240.801186492247;192.828123466142.
383.554132633413;242.166781523835;192.689488496223.
385.675564008298;243.294605152428;192.592366609763.
387.264853731789;244.29432548414;192.333403341101.
388.395754153514;245.382476479116;191.707643868143.
389.384499946126;246.664337335374;190.699665930952.
390.544927010706;248.273496532589;189.345073276861.
392.126523466542;250.453689298252;187.648141167077.
394.291228866818;253.428460249594;185.431505183592.
396.992643096093;257.054977230111;182.769974431334.
400.229980510567;261.032476903673;180.040189916402.
403.934939776464;264.934995315839;177.690197864422.
407.94043902045;268.655733800976;175.745664421943.
411.951717011473;272.262053399752;173.960393812632.
415.580619657212;275.631905435763;172.190522981274.
418.777160705191;278.514420475979;170.699130508166.
421.447366669137;280.96137464415;169.53301098669.
423.776455713806;282.817988253218;168.964858293539.
425.974350577518;283.98732535405;168.846281878202.
428.144414729378;284.787655125241;168.850652725353.
430.068556546721;285.583829790125;168.808765408795.
431.592306757583;286.504303005609;168.581525276185.
432.658975004278;287.501570317397;168.125935157281.
433.33159830138;288.330969955969;167.717775330123.
433.773012473217;288.825995503733;167.560562872912.
434.377541237835;289.127997758992;167.599526104408.
435.253387133038;289.290847142712;167.725181515383.
